permutation,loss,accuracy,avg_mse,stopped,model_path,loss_path
0_001_0_3_128__64__32_8_4_8,0.000019,1.0,6.0193e-7,54,./tmp/8a79ab390b8572cdbb26f5921dc154c1a191f7bcebe70352b72f7d2b2b1989a1/dota_autoencoder_0_001_0_3_128__64__32_8_4_8.h5,./tmp/8a79ab390b8572cdbb26f5921dc154c1a191f7bcebe70352b72f7d2b2b1989a1/dota_autoencoder_loss_0_001_0_3_128__64__32_8_4_8.csv
0_001_0_3_256__128_8_4_2,0.000087,1.0,0.000003,48,./tmp/8a79ab390b8572cdbb26f5921dc154c1a191f7bcebe70352b72f7d2b2b1989a1/dota_autoencoder_0_001_0_3_256__128_8_4_2.h5,./tmp/8a79ab390b8572cdbb26f5921dc154c1a191f7bcebe70352b72f7d2b2b1989a1/dota_autoencoder_loss_0_001_0_3_256__128_8_4_2.csv
0_001_0_3_256__128_8_4_3,0.000091,1.0,0.000003,51,./tmp/8a79ab390b8572cdbb26f5921dc154c1a191f7bcebe70352b72f7d2b2b1989a1/dota_autoencoder_0_001_0_3_256__128_8_4_3.h5,./tmp/8a79ab390b8572cdbb26f5921dc154c1a191f7bcebe70352b72f7d2b2b1989a1/dota_autoencoder_loss_0_001_0_3_256__128_8_4_3.csv
0_001_0_3_256__128_8_4_4,0.000039,1.0,0.000001,56,./tmp/8a79ab390b8572cdbb26f5921dc154c1a191f7bcebe70352b72f7d2b2b1989a1/dota_autoencoder_0_001_0_3_256__128_8_4_4.h5,./tmp/8a79ab390b8572cdbb26f5921dc154c1a191f7bcebe70352b72f7d2b2b1989a1/dota_autoencoder_loss_0_001_0_3_256__128_8_4_4.csv
0_001_0_3_256__128_8_4_8,0.000065,1.0,0.000002,51,./tmp/8a79ab390b8572cdbb26f5921dc154c1a191f7bcebe70352b72f7d2b2b1989a1/dota_autoencoder_0_001_0_3_256__128_8_4_8.h5,./tmp/8a79ab390b8572cdbb26f5921dc154c1a191f7bcebe70352b72f7d2b2b1989a1/dota_autoencoder_loss_0_001_0_3_256__128_8_4_8.csv
0_001_0_3_256__128__64_8_4_2,0.000029,1.0,0.000001,63,./tmp/8a79ab390b8572cdbb26f5921dc154c1a191f7bcebe70352b72f7d2b2b1989a1/dota_autoencoder_0_001_0_3_256__128__64_8_4_2.h5,./tmp/8a79ab390b8572cdbb26f5921dc154c1a191f7bcebe70352b72f7d2b2b1989a1/dota_autoencoder_loss_0_001_0_3_256__128__64_8_4_2.csv
0_001_0_3_256__128__64_8_4_3,0.0001,1.0,0.000003,50,./tmp/8a79ab390b8572cdbb26f5921dc154c1a191f7bcebe70352b72f7d2b2b1989a1/dota_autoencoder_0_001_0_3_256__128__64_8_4_3.h5,./tmp/8a79ab390b8572cdbb26f5921dc154c1a191f7bcebe70352b72f7d2b2b1989a1/dota_autoencoder_loss_0_001_0_3_256__128__64_8_4_3.csv
0_001_0_3_256__128__64_8_4_4,0.000035,1.0,0.000001,54,./tmp/8a79ab390b8572cdbb26f5921dc154c1a191f7bcebe70352b72f7d2b2b1989a1/dota_autoencoder_0_001_0_3_256__128__64_8_4_4.h5,./tmp/8a79ab390b8572cdbb26f5921dc154c1a191f7bcebe70352b72f7d2b2b1989a1/dota_autoencoder_loss_0_001_0_3_256__128__64_8_4_4.csv
0_001_0_3_256__128__64_8_4_8,0.00002,1.0,6.7093e-7,52,./tmp/8a79ab390b8572cdbb26f5921dc154c1a191f7bcebe70352b72f7d2b2b1989a1/dota_autoencoder_0_001_0_3_256__128__64_8_4_8.h5,./tmp/8a79ab390b8572cdbb26f5921dc154c1a191f7bcebe70352b72f7d2b2b1989a1/dota_autoencoder_loss_0_001_0_3_256__128__64_8_4_8.csv
0_001_0_3_256__128__64__32_8_4_2,0.00011,1.0,0.000004,50,./tmp/8a79ab390b8572cdbb26f5921dc154c1a191f7bcebe70352b72f7d2b2b1989a1/dota_autoencoder_0_001_0_3_256__128__64__32_8_4_2.h5,./tmp/8a79ab390b8572cdbb26f5921dc154c1a191f7bcebe70352b72f7d2b2b1989a1/dota_autoencoder_loss_0_001_0_3_256__128__64__32_8_4_2.csv
0_001_0_3_256__128__64__32_8_4_3,0.000003,1.0,1.2195e-7,60,./tmp/8a79ab390b8572cdbb26f5921dc154c1a191f7bcebe70352b72f7d2b2b1989a1/dota_autoencoder_0_001_0_3_256__128__64__32_8_4_3.h5,./tmp/8a79ab390b8572cdbb26f5921dc154c1a191f7bcebe70352b72f7d2b2b1989a1/dota_autoencoder_loss_0_001_0_3_256__128__64__32_8_4_3.csv
0_001_0_3_256__128__64__32_8_4_4,0.000008,1.0,2.9615e-7,60,./tmp/8a79ab390b8572cdbb26f5921dc154c1a191f7bcebe70352b72f7d2b2b1989a1/dota_autoencoder_0_001_0_3_256__128__64__32_8_4_4.h5,./tmp/8a79ab390b8572cdbb26f5921dc154c1a191f7bcebe70352b72f7d2b2b1989a1/dota_autoencoder_loss_0_001_0_3_256__128__64__32_8_4_4.csv
0_001_0_3_256__128__64__32_8_4_8,0.00001,1.0,3.3962e-7,58,./tmp/8a79ab390b8572cdbb26f5921dc154c1a191f7bcebe70352b72f7d2b2b1989a1/dota_autoencoder_0_001_0_3_256__128__64__32_8_4_8.h5,./tmp/8a79ab390b8572cdbb26f5921dc154c1a191f7bcebe70352b72f7d2b2b1989a1/dota_autoencoder_loss_0_001_0_3_256__128__64__32_8_4_8.csv
